date,target,market_1,market_2,market_3,market_4,market_5,should_be_impacted_1,should_be_impacted_2,should_be_impacted_3,should_be_impacted_4,should_be_impacted_5,should_be_impacted_6,should_be_impacted_7,should_be_impacted_8,should_be_impacted_9,should_be_impacted_10,should_be_impacted_11,should_be_impacted_12,should_be_impacted_13,should_be_impacted_14,should_be_impacted_15,should_be_impacted_16,should_be_impacted_17,should_be_impacted_18,should_be_impacted_19,should_be_impacted_20,should_be_impacted_21,should_be_impacted_22,should_be_impacted_23,should_be_impacted_24,should_be_impacted_25,should_be_impacted_26,should_be_impacted_27,should_be_impacted_28,should_be_impacted_29,should_be_impacted_30,some_times_impacted_some_times_not_1,some_times_impacted_some_times_not_2,some_times_impacted_some_times_not_3,some_times_impacted_some_times_not_4,some_times_impacted_some_times_not_5,may_be_not_impacted_2,may_be_not_impacted_3,may_be_not_impacted_4,may_be_not_impacted_5,may_be_not_impacted_6,may_be_not_impacted_7,may_be_not_impacted_8,may_be_not_impacted_9,may_be_not_impacted_10,may_be_not_impacted_11,may_be_not_impacted_12
2014-01-27,33874.2,8252195.64,11491000.56,7308550.06,20185099.2,11575334.69,232298.0491,576224.9381,317185.106,627582.844,83737.45858,180958.36,11980.15,419708.1,120210.56,883545,381950.772,102068.648,46589.52,21395.96,4931.96,40760.496,3633.408,69476.04,2924.68,6523.75,503.88,2843.82,860.196,1884,244.11,36616.8,1858.03,5232.33,5163.33,500.59,3057.21,1716.99,1156.75,2893.47,992.18,8.22,1.64,46.4,17.15,7.38,58.71,36.2,59.4,1.99,50.85,11.55
2014-01-28,34805.12,8400612.1,11614251.48,7496925.68,22218026.88,11789218.23,239485.9089,603980.8158,331032.6304,675672.4305,87099.20863,188858,15757.56,439924.8,126776.18,926104.2,402812.56,106524.4,50159.52,22591.672,5129.96,43883.91,3836.448,72264.852,2818.328,6447.5,466.44,2873.1,829.059,1841.7,226.6,36660.8,1896.77,4689.63,5129.54,492.68,3208.14,1782.33,1236,2991.51,976.22,9.59,2.46,30.45,21.56,11.07,58.71,14.48,59.4,3.98,55.37,14.63
2014-01-29,33564.8,8038558.97,11161998.12,7146132.18,21157960.32,11284062.04,237601.8218,592716.4329,315229.1732,636365.3765,80540.06075,179842.3,8960.77,431720.1,120115.66,908832.12,381649.792,101439.14,47241.504,20705.788,4743.64,41330.898,3516.192,66823.164,2480.776,6586.25,405.6,2609.58,827.604,1755,197.76,34378.08,1758.2,4419.9,4769.84,518.67,2920.32,1629.87,1119.25,2768.34,792.68,2.74,1.64,30.45,18.62,4.92,49.59,12.67,66,9.95,49.72,10.01
2014-01-30,34408,7333909.05,10178427.48,6614713.18,18484644.48,10337013.57,228574.8412,570158.8358,306313.4794,601433.1009,77469.66237,174755.95,5444.53,415289.7,117513.94,874243.8,373382.676,98570.21,44648.256,19836.636,4562.8,39062.142,3368.608,64275.426,2231.08,6145,391.56,2399.13,795.691,1707.9,210.12,32042.56,1597.28,4472.82,4259.72,470.08,2590.38,1378.19,1013.5,2343.93,718.2,4.11,1.23,31.9,18.13,4.92,39.33,9.05,54.45,5.97,35.03,6.16
2014-01-31,32784.16,6563732.69,9297124.2,6002380.72,16175731.2,9284501.41,218747.4608,535569.9436,289550.0551,539196.932,71284.04227,165192.01,-553.28,390096,112592.28,821206.95,357744.828,93175.718,40028.064,18120.312,4198.48,35020.062,3077.152,59143.842,2601,6683.75,472.68,2907.87,870.09,1907.4,237.93,37771.36,2002.56,4661.55,5653.83,540.14,2138.76,1143.45,837.5,1907.91,599.83,10.96,2.46,36.25,24.01,17.22,57,32.58,62.7,5.97,53.11,6.93
2014-02-01,35489.2,8364493.91,11600261.4,7451220.62,21856175.04,11738845.8,247770.946,611508.6643,321912.9436,648181.6749,79763.12296,183655.06,11199.37,445407.9,120549.28,937646.52,383027.148,103589.708,48118.704,19721.084,4697.88,42098.364,3348.992,66178.53,2518.924,6717.5,425.88,3028.65,869.023,1902.3,212.18,38447.2,2094.94,5039.01,5691.98,537.88,3114.54,1625.03,1225.5,2801.88,698.25,6.85,4.1,40.6,24.5,6.15,56.43,27.15,62.7,3.98,59.89,15.4
2014-02-02,35651.04,8574583.51,11726785.2,7507354.7,22158662.4,12026014.99,248285.8099,606624.6446,318469.0619,632990.8615,78037.4246,181690.83,9055.41,441850.5,117937.34,930157.95,374728.444,102481.794,46990.992,18897.148,4596.24,41111.784,3209.056,64746.954,2128.196,6663.75,475.8,2832.84,862.233,1869.9,236.9,38375.04,2026.4,4322.16,5562.27,555.96,3246.75,1737.56,1248.5,2950.23,696.92,15.07,3.28,36.25,23.03,4.92,62.7,28.96,75.9,7.96,51.98,10.78
2014-02-03,34102,8199333.11,11736079.68,7407961.28,22282774.08,11510999.47,248602.8221,592704.9004,303805.5655,584406.6393,69976.69502,173324.83,3590.86,431711.7,112684.26,908814.18,358037.464,97762.994,43384.272,16735.572,4121.48,37956.366,2841.984,58058.478,2012.596,6611.25,464.88,2541.87,865.434,1942.2,226.6,39424,2036.83,3996,5339.91,570.65,3081.78,1552.43,1203,2613.54,609.14,8.22,0.41,36.25,27.93,9.84,55.86,34.39,57.75,3.98,41.81,12.32
2014-02-04,34654.84,8309305.84,11577310.68,7351350.16,21869967.36,11640614.57,251080.4642,584156.4245,293017.936,531623.5091,61295.90933,167170.48,-209.3,425485.2,109053.24,895706.25,346500.096,94291.664,39465.84,14801.332,3610.2,34528.158,2513.536,50855.994,2073.864,6655,502.32,2466.84,830.029,1894.5,221.45,39767.2,2075.57,4213.35,5173.14,516.41,3146.13,1522.18,1242,2712.87,595.84,13.7,3.69,40.6,22.54,9.84,60.99,21.72,56.1,3.98,53.11,12.32
2014-02-05,34067.32,8804237.93,11808981.6,7689927.52,22866803.52,12308648.62,247564.1011,576276.8344,293545.9179,514772.918,65464.47939,167471.3,667.94,419745.9,104185.6,883624.35,331033.896,94461.34,38214.912,14404.436,3855.72,33433.722,2446.112,54314.928,1924.74,6272.5,418.08,2239.92,759.995,1764.3,218.36,36676.64,1865.48,3630.69,4649.94,440.7,3125.07,1516.13,1242,2570.97,714.21,4.11,3.28,31.9,13.23,1.23,46.17,16.29,59.4,3.98,38.42,6.93
